"id","group","page","word","image","audio","audioMeaning","audioExample","textMeaning","textExample","transcription","__v","textExampleTranslate","textMeaningTranslate","wordTranslate"
"5e9f5ee35eb9e72bc21af4a0",0,0,"alcohol","files/01_0002.jpg","files/01_0002.mp3","files/01_0002_meaning.mp3","files/01_0002_example.mp3","<i>Alcohol</i> is a type of drink that can make people drunk.","A person should not drive a car after he or she has been drinking <b>alcohol</b>.","[ǽlkəhɔ̀ːl]",0,"Человек не должен водить машину после того, как он выпил алкоголь","Алкоголь - это тип напитка, который может сделать людей пьяными","алкоголь"
"5e9f5ee35eb9e72bc21af4a2",0,0,"boat","files/01_0005.jpg","files/01_0005.mp3","files/01_0005_meaning.mp3","files/01_0005_example.mp3","A <i>boat</i> is a vehicle that moves across water.","There is a small <b>boat</b> on the lake.","[bout]",0,"На озере есть маленькая лодка","Лодка - это транспортное средство, которое движется по воде","лодка"
"5e9f5ee35eb9e72bc21af4a1",0,0,"agree","files/01_0001.jpg","files/01_0001.mp3","files/01_0001_meaning.mp3","files/01_0001_example.mp3","To <i>agree</i> is to have the same opinion or belief as another person.","The students <b>agree</b> they have too much homework.","[əgríː]",0,"Студенты согласны, что у них слишком много домашней работы","Согласиться - значит иметь то же мнение или убеждение, что и другой человек","согласна"
"5e9f5ee35eb9e72bc21af4a3",0,0,"arrive","files/01_0003.jpg","files/01_0003.mp3","files/01_0003_meaning.mp3","files/01_0003_example.mp3","To <i>arrive</i> is to get somewhere.","They <b>arrived</b> at school at 7 a.m.","[əráiv]",0,"Они прибыли в школу в 7 часов утра","Приехать значит попасть куда-то","прибыть"
"5e9f5ee35eb9e72bc21af4a4",0,0,"August","files/01_0004.jpg","files/01_0004.mp3","files/01_0004_meaning.mp3","files/01_0004_example.mp3","<i>August</i> is the eighth month of the year.","Is your birthday in <b>August</b>?","[ɔ́ːgəst]",0,"У тебя день рождения в августе?","Август - восьмой месяц года","август"
"5e9f5ee35eb9e72bc21af4a5",0,0,"breakfast","files/01_0006.jpg","files/01_0006.mp3","files/01_0006_meaning.mp3","files/01_0006_example.mp3","<i>Breakfast</i> is the morning meal.","I ate eggs for <b>breakfast</b>.","[brekfəst]",0,"Я ел яйца на завтрак","Завтрак - это утренняя трапеза","завтрак"
"5e9f5ee35eb9e72bc21af4a6",0,0,"camera","files/01_0007.jpg","files/01_0007.mp3","files/01_0007_meaning.mp3","files/01_0007_example.mp3","A <i>camera</i> is a piece of equipment that takes pictures.","I brought my <b>camera</b> on my vacation.","[kǽmərə]",0,"Я принес свою камеру в отпуск","Камера - это часть оборудования, которая делает снимки","камера"
"5e9f5ee35eb9e72bc21af4a7",0,0,"capital","files/01_0008.jpg","files/01_0008.mp3","files/01_0008_meaning.mp3","files/01_0008_example.mp3","A <i>capital</i> is a city where a country’s government is based.","The <b>capital</b> of the United States is Washington, D.C.","[kæpətl]",0,"Столица Соединенных Штатов - Вашингтон, округ Колумбия","Столица - это город, в котором базируется правительство страны","столица"
"5e9f5ee35eb9e72bc21af4a8",0,0,"catch","files/01_0009.jpg","files/01_0009.mp3","files/01_0009_meaning.mp3","files/01_0009_example.mp3","To <i>catch</i> is to grab or get something.","Did you <b>catch</b> the ball during the baseball game?","[kætʃ]",0,"Вы поймали мяч во время игры в бейсбол?","Поймать - значит схватить или получить что-то","поймать"
"5e9f5ee35eb9e72bc21af4a9",0,0,"duck","files/01_0010.jpg","files/01_0010.mp3","files/01_0010_meaning.mp3","files/01_0010_example.mp3","A <i>duck</i> is a small water bird.","People feed <b>ducks</b> at the lake.","[dʌk]",0,"Люди кормят уток у озера","Утка - маленькая водяная птица","утка"
